States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato,Date
Jharkhand,34.9,28.13,32.6,72.1,105,99.9,100.3,87,43.63,52.14,195.86,170,136.2,166.57,175.14,133.57,48.14,321.71,14.29,23.14,22.71,34.67,2022-10-06
Karnataka,48.25,36.58,43.75,73.25,113.33,111.5,102.5,102.17,40.5,42.92,187.42,189.58,133.58,151.5,179,126.5,44.5,239.5,25.25,25,21.75,38.25,2022-10-06
Kerala,52.3,41.4,47.7,97.5,132.5,134.2,124.4,119.9,41.8,47,220.17,217.38,180.6,141.56,175.33,129.33,43.4,242.44,25.7,31.9,30.4,48.5,2022-10-06
Madhya Pradesh,33.82,26.45,32.18,67.64,102.55,94,94.55,90.18,41.73,58.36,178.82,162.36,142.55,164.75,185.75,143.33,48.5,302.25,24.25,32.75,31.5,58.75,2022-10-06
Maharashtra,40.46,33.77,39,69.46,115.38,107.54,103.08,96.23,40.08,53.85,183.31,178.08,145.92,161,189.14,124.88,46.88,279.43,21.5,24.8,30.3,49.33,2022-10-06
Manipur,45,,45,80,120,135,120,90,45,60,180,170,177,156.83,155.25,111.08,52.67,322.25,18.75,31.58,25.42,38,2022-10-06
Meghalaya,25.57,37.14,35.29,75.2,109.5,120.33,106.67,91,44.86,68.71,165,154.29,146,,163.5,115,63.4,234.7,14.4,43.1,30.7,49,2022-10-06
Mizoram,47,40,43.33,98.33,125,130,113.33,111.67,50,74.5,191,191.33,201.5,137.82,167.73,117.14,43.45,265.27,19.09,24.64,18.64,40,2022-10-06
Nagaland,33,37.8,40.44,98.57,120,117.86,120.63,102.78,50.71,67.33,210,180.83,202.5,138.92,164.62,119.3,49.62,268.38,21.54,30.31,24,33.31,2022-10-06
Odisha,32.13,34.29,35.38,67.75,111.88,96.13,95.75,86,43.38,48,180,168,118.88,157,210,140,,,14,28,27,60,2022-10-06
Puducherry,34,40,37,73,127,127,106,102,42,44,179,190,164,149.5,205,139.33,73,341.29,23.57,33.14,38.57,48.86,2022-10-06
Punjab,38.75,24,27.5,76.25,124.75,118.25,110.75,106.5,42,54.5,229.25,172,152.25,155.2,214.5,142,105,188,26.5,38.83,54.67,67.8,2022-10-06
Rajasthan,37.14,30.14,32.57,77,111.71,105,97.57,93.71,42.43,47.86,194.71,174.71,148.67,185,205,165,70,325,16.14,34.29,44.29,64.29,2022-10-06
Sikkim,53,38,40,79,118,120,113,102,48,62,,198,143,162,158.63,109.25,49.13,234.14,24.13,25.5,25.63,43.5,2022-10-06
Tamil Nadu,50,39.33,47.33,74,119.67,122.44,104.11,100,39.56,41.67,210.33,207.13,141,,140,98,52,329,25,35,30,40,2022-10-06
Telangana,41.67,34.67,40,69.67,104.83,109.67,101.17,94.17,40.17,57.83,171.67,187.5,143.83,158,195.25,99.5,52.75,299.5,25.5,25.5,26.5,44,2022-10-06
Tripura,45,,35,75,110,110,110,105,50,72,,168,135,167.67,190.8,154.67,47.14,272.57,20.57,27,25.57,43.71,2022-10-06
Uttar Pradesh,33.22,26.1,31.38,70.69,106.66,102.31,97.75,92.03,41.2,58,187.16,161.1,142.68,176,220,,60,547,17,40,35,55,2022-10-06
Uttarakhand,34,27.75,33,89,112.5,110,111.75,102.25,43,59.5,182.5,165,164.25,,164,108,53.78,270.88,24.22,38.78,30.67,41.22,2022-10-06
West Bengal,41.43,25.8,33.43,73.43,116.71,107.29,107.14,103.43,42.57,48.29,190.2,161.71,131.43,173.67,170.5,127.5,54,288,17.5,26.5,27.17,41.67,2022-10-06
Andaman and Nicobar,45.33,40,64.67,84.33,126.33,138,122,114.67,51.67,67.67,224.5,230,204,,211.33,141.33,71.67,305,20.33,51,43.33,78,2022-10-07
Andhra Pradesh,53.75,41,44,71.75,116.5,123.5,108.25,106.5,41.25,56.25,173.75,193.75,136.75,170,156.5,107.25,56,340.25,20.25,34.75,25.5,41.75,2022-10-07
Arunachal pradesh,30.25,40,39.5,86.25,118.25,117,117,108.75,49.5,68,,162.5,170.75,165.25,206.67,138,73,279.67,20,30.75,35,54.25,2022-10-07
Assam,26.5,29,34.5,65.5,110,88,95,82.5,42.5,66.5,210,169,164.5,140,175,135,49.5,187.5,11.5,27.5,27.5,50,2022-10-07
Bihar,38.18,27.11,33.26,67.89,109.39,107.16,102.89,88.03,42.82,51.32,199.79,165.13,140.94,149.79,190.44,127.39,47.66,291.47,21.21,20.89,21.63,46.63,2022-10-07
Chandigarh,38,24,28,78,113,111,112,90,42,57,177,177,175,168,170,145,48,229,23,28,28,49,2022-10-07
Chhattisgarh,32.17,29.17,33.67,71.67,99.33,97.17,98.67,87.33,40.17,56.17,189.83,174.83,140.33,146.67,172.83,139.17,44.83,301.33,19.67,26.17,24.83,42,2022-10-07
Delhi,32,25,30,72,113,127,103,94,41,52,205,176,152,150,190,113,56,224,26,30,25,55,2022-10-07
DNH and DD,39,29,33.5,71,113.5,114.5,101.5,109,38,56,193.5,181,167.5,164,180.5,118.5,53,234,25,21,27,25,2022-10-07
Goa,39,39,38,78,123,117,115,105,41,52,205,182,192,172,175,105,55,307,23,37,27,47,2022-10-07
Gujarat,35,30.86,33.57,70,108.14,101.71,96.71,92.43,40.43,56.43,185.43,175.14,155.86,164.86,173.71,131.86,48,321.71,14.29,23.71,23.57,35.5,2022-10-07
Haryana,34,24.25,29.5,70.75,105.5,98,99.25,98.25,43,57.5,187.5,166.5,153,151.75,179.5,135.33,45.25,258.67,24.75,25.33,23,40.33,2022-10-07
Himachal Pradesh,33.55,21,31.27,67.64,112.64,105.82,96.64,92.45,42.18,49.2,196,171.09,146.82,141.8,170.75,127.25,43.18,249.6,25.73,31.36,28.18,47.91,2022-10-07
Jammu and Kashmir,38.5,28.25,38.5,78.25,119,117,111.25,104,49.25,51.25,250,193.25,168.5,165.5,186.5,143.33,48.75,304.75,26.33,34.25,30.75,52.25,2022-10-07
Jharkhand,34.44,27.29,31.33,72.22,104.56,98.44,99.22,88.56,43,51.86,200.33,173.22,134.78,162.11,191,130.88,45.38,291,20.5,24.56,29.56,49.75,2022-10-07
Karnataka,48.75,36.83,44,73.25,113.5,111.75,102.58,102.25,40.58,43.17,187.25,189.92,135.17,156.92,155.25,112.25,52.83,322.17,18.75,32.25,24.83,37,2022-10-07
Kerala,51.4,41.8,48.3,97.4,129.4,132.9,123.2,118,41.8,47.1,222.6,216,185.2,,161.9,112.67,62.7,238.5,14.2,41.2,26.8,48.2,2022-10-07
Madhya Pradesh,33,26.36,31.55,67.55,103.55,93.64,93.73,90,41.36,58.09,179.27,163.45,142.09,139.36,169.64,117.43,43.09,263.09,18.91,24.91,18.45,38.18,2022-10-07
Maharashtra,40.77,33.54,39.08,68.31,114,107.23,102.77,95.92,40.23,53.85,182.77,177.92,145.77,135.69,161.77,118.3,49.54,268.38,21.46,29.85,23.23,32.69,2022-10-07
Manipur,41,34,34,75,105,120,100,93,45,60,180,170,177,157,210,140,,,14,28,27,60,2022-10-07
Meghalaya,25.83,37,34.83,79.5,111.4,123,108.4,90.67,44.83,68.83,165,155.17,144.33,147.67,205,139.33,73,353.33,23.5,34.17,39.33,49.5,2022-10-07
Mizoram,47,40,43.33,98.33,125,130,113.33,111.67,50,74,191,200.5,201,155.8,214.5,142,105,187.17,26.67,38.6,54,68.2,2022-10-07
Nagaland,32.43,37.4,41,95,121.33,118.33,120,102.86,51,67.2,195,189.17,188.75,185,195,172.5,76.67,322,15.6,32,45,63,2022-10-07
Odisha,31.86,34.29,35.43,67.57,109.57,95.43,95,85.71,43.57,48,178,167.29,113.86,162,157.86,104.71,48.86,232.33,24.14,25.57,23.14,42,2022-10-07
Puducherry,34,39,36,72,125,126,104,100,42,44,175,190,164,,140,95,52,329,25,35,30,40,2022-10-07
Punjab,38.25,24.25,28,75,122.75,118.25,109,106,42,54.25,228,172.25,152.75,157.5,196.25,97.5,53,303.5,25.25,25.5,25,43.75,2022-10-07
Rajasthan,38,30.17,33.33,72.67,113.33,105.83,97.17,93.67,42.17,48.5,193,171.33,150.8,159.6,190.4,167.5,45.67,273.17,20.17,25.83,26.83,44.33,2022-10-07
Tamil Nadu,50,39.11,47.33,73.78,118.44,122.22,104.67,99.67,39.67,41.67,207.89,207,140.56,,162.11,106.11,53.56,270,24,39.44,27.89,40.33,2022-10-07
Telangana,41.83,34.67,40,69.67,106.17,110,101.33,94.17,40.17,57.83,172.5,187.5,143.83,174.33,172.17,127.83,53.83,288,17.5,24.83,26,40.67,2022-10-07
Tripura,45,,35,75,110,110,110,105,50,72,,168,135,155,190,135,52,179,10,30,30,58,2022-10-07
Uttar Pradesh,33.34,26,31.14,72.48,106.9,103.9,98.62,92.69,41.21,57.86,187.52,162.28,145.45,147.79,171.93,124.82,46.69,289.14,24.52,22.66,21.69,42.93,2022-10-07
Uttarakhand,32.5,26,32.5,81,108.5,107.5,105.5,96,43,62.5,184.5,168.5,166,162,179,,42.5,287,26.5,25,26.5,37,2022-10-07
West Bengal,42.83,25,33.33,72.17,115.33,106.67,108,103.33,43.33,48.17,195,161.33,129.33,145,171.33,126,54,270.33,17.5,24.83,25.83,55.67,2022-10-07
Andaman and Nicobar,41.5,40,65,85,124.5,139,121.5,116.5,53.5,67.5,,232.5,202.5,,223,154,74.5,305,20,50,45,72.5,2022-10-08
Andhra Pradesh,54.25,40.75,43.5,71.25,116.25,123,107.75,106,41.25,56.25,173.75,193.75,136.75,170,156.5,107.25,56.25,344.75,20,34.75,25.5,40.75,2022-10-08
Arunachal pradesh,32.67,40,41,89,119,116.67,120.67,111.67,49.33,68,,153.33,154.33,166.67,197.5,138,74.5,270,16.67,31.5,35,63.5,2022-10-08
Assam,26.5,29,34.5,65.5,110,88,95,82.5,42.5,66.5,210,169,164.5,140,175,135,49.5,187.5,11.5,27.5,27.5,50,2022-10-08
Bihar,38.14,27.08,33.32,67.89,109.03,106.41,102.76,88.03,42.73,51.22,199.07,165.19,139.29,149.03,189.96,126.37,47.51,292.92,21.11,20.78,21.49,46.49,2022-10-08
Chandigarh,38,24,28,78,113,111,112,90,42,57,177,177,175,168,170,145,48,229,23,28,28,49,2022-10-08
Chhattisgarh,32.17,29.17,33.67,71.67,99.33,97.17,98.67,87.33,40.17,56.17,189.83,174.83,140.33,146.67,172.83,139.17,44.83,301,19.67,26.17,24.83,42,2022-10-08
Delhi,32,25,30,72,113,127,103,94,41,52,205,176,152,150,190,113,56,224,26,30,25,53,2022-10-08
Gujarat,36.83,32.5,34.67,71.5,110.5,102.83,98.33,95.17,40.4,57,181.6,171.8,150.8,160.2,172.6,138.2,47,340,13.6,24.2,24.8,37.75,2022-10-08
Haryana,33,23.67,30,67,102.67,92.33,93.67,87.67,41.33,55.33,196,165,151.67,147,183.33,122,43.33,226.67,23.67,22.33,18.33,28,2022-10-08
Himachal Pradesh,33.1,,30.9,68,112.7,106.6,96.3,92.1,42.6,49.11,185.33,173,146.3,141.56,175.33,129.33,43.4,242.11,25.7,31.2,28.7,47.8,2022-10-08
Jammu and Kashmir,38.5,28.25,38.5,79.75,119.75,117.75,111.25,104,49.25,51.25,250,192.5,168.5,165.5,185,143.33,48.25,304.75,24.25,33.25,30.75,55.75,2022-10-08
Jharkhand,34.44,27.29,31.33,72.22,104.56,98.44,99.22,88.56,43.13,52.14,200.33,173.67,134.78,162.33,191,130.88,45.38,291.29,20.5,24.56,29.78,49.88,2022-10-08
Karnataka,48.73,37,44.36,73.73,113,110.82,102.36,101.91,40.55,43.36,185.64,188.73,134.73,151.45,154.73,111.18,51.82,323.09,18.91,32.18,25,36.64,2022-10-08
Madhya Pradesh,32.8,27,30,64.8,102.7,95.2,90.3,90,41.2,59.1,178.78,163.33,146.56,138.11,170.67,117.83,43,250.7,19.2,25.5,18.2,37.7,2022-10-08
Maharashtra,40.46,33.69,39.08,68.54,114.08,107.15,102.92,95.92,40.23,53.85,182.69,177.92,145.69,136.54,162.31,118.9,49.54,268.38,21.46,29.46,23.38,32.85,2022-10-08
Meghalaya,26.17,37,34.83,74.5,107.4,117,108.4,92.33,44.83,68.83,,155.4,145,146.4,200,135,76.25,350,24.67,35,40.2,51.4,2022-10-08
Mizoram,47.33,,45,,,,,113.33,49.5,76,,225,200,146.5,,,100,208.5,27,39,53.5,72,2022-10-08
Nagaland,32.13,37.4,40.88,95.83,121.33,118.33,120,102.5,50.71,67.33,195,180.83,188.75,190,195,172.5,76.67,325,16.14,33.33,45,63.33,2022-10-08
Odisha,32,35,35.5,68.33,110,96.17,95.83,87,43.33,48,180,164.33,113.67,162,156.33,103.33,49.67,229.4,24.5,25.67,23.33,44.17,2022-10-08
Puducherry,34,39,36,72,125,126,104,100,42,44,175,190,164,,140,95,52,329,25,35,30,40,2022-10-08
Punjab,37.33,22.67,26.67,75.67,121,116.67,110.33,108.67,41,53.67,210.67,177.67,156.67,162.33,204.33,108,54,295.33,24,26.67,26,40.67,2022-10-08
Rajasthan,42.33,33,36,80,113.67,105.33,100.33,99.67,43.67,49.67,190.67,180,165.67,171.67,195.67,167.5,46,268,21.33,28,28,44.33,2022-10-08
Sikkim,53,38,40,79,118,120,113,102,48,62,,198,143,176,220,,60,547,17,48,30,60,2022-10-08
Tamil Nadu,50.13,39.63,45.75,74.63,119.13,122.13,105.13,98.88,39.63,41.5,208.25,200.14,141.13,,161.63,105.5,54.13,270.86,23.75,39.13,27.38,40.38,2022-10-08
Telangana,39,33.25,39.25,68.25,105,110.75,102.5,94.25,40.25,55.75,169.75,179,139.75,172,170,128,53.25,284.5,17.5,22.5,24.5,39.25,2022-10-08
Tripura,45,,35,75,110,110,110,105,50,72,,168,135,155,190,135,54,179,10,30,30,58,2022-10-08
Uttar Pradesh,33.23,26.03,31.19,71.81,106.94,103.13,98.81,92.39,41.13,57.93,187.37,162.27,144.8,147.5,172.03,124.14,46.8,287.73,24.57,22.57,21.77,43.03,2022-10-08
Uttarakhand,33.5,27.25,32.25,87.5,110.5,108.25,110,100.25,42.25,59,183,164.25,164.5,158.75,172.25,122.5,46.25,259.75,26.5,26,28.5,38.25,2022-10-08
West Bengal,42.83,25,33.33,72.17,115.33,106.67,108,103.33,43.33,48.17,195,161.33,129.33,145,171.33,126,54,270.33,17.5,24.83,25.83,55.83,2022-10-08
Andhra Pradesh,52.33,41,44.67,71.67,116.67,124,110.33,104.67,41.67,59.67,173.33,187.33,135,190,151,99.67,55.67,331.33,20.67,24.8,25,41.67,2022-10-09
Arunachal pradesh,37,40,36.5,93.5,118.5,116.5,121.5,112.5,49,67,,155,151.5,175,175,138,74.5,271,17.5,31.5,35,54.5,2022-10-09
Bihar,37.94,27.26,33.21,68.18,109.18,105.97,102.76,87.65,42.91,51.24,200.77,164.91,139.27,149.35,189.56,126.65,47.5,296.29,21.09,20.74,21.59,47.03,2022-10-09
Chandigarh,38,24,28,78,113,111,112,90,42,57,177,177,175,168,170,145,48,229,23,28,28,49,2022-10-09
Chhattisgarh,32.17,29.17,33.67,71.67,99.33,97.17,98.67,87.33,40.5,56.17,189.83,174.83,140.33,146.67,172.83,139.17,45.33,304.17,19.67,26.17,24.83,42,2022-10-09
Delhi,33,25,30,70,110,125,100,92,40,52,206,176,151,148,190,110,54,227,26,30,25,50,2022-10-09
Gujarat,33.33,30,32.33,72.67,105,100,100.67,90,41,56.33,185.5,189,172,171.5,189,155,45.67,332.33,11.33,23.67,24,38.5,2022-10-09
Haryana,33.33,24.33,30.33,67.33,103.33,93,94.33,88.33,41,56,187.5,157.5,135,138.5,176.5,117.5,43,215,21.5,22.5,20,27.5,2022-10-09
Himachal Pradesh,33.11,,30.78,68.44,112.33,107,96.67,93.78,42.44,50,185.33,175.11,146.89,142.75,175.33,127.5,43.44,247.5,25.78,30.44,28.11,47.56,2022-10-09
Jharkhand,33.75,26,30.5,70.5,111,102,100,91.5,42.25,53.33,226.5,170.25,133.5,168,202,140,46.25,339.67,21.5,21.5,22.25,44.75,2022-10-09
Karnataka,48.58,36.75,43.83,73.17,113.42,111.42,102.58,102.17,40.58,43.25,187.42,190.08,134.83,157,155.25,111.33,52.75,322.42,18.75,32.08,24.92,37.5,2022-10-09
Madhya Pradesh,33.73,26.45,32,67.45,102.82,93.45,94.18,90.36,41.45,58.18,179.6,162.5,142,139.2,170.6,116.67,43.18,263.82,19.27,25.09,18.45,38.82,2022-10-09
Maharashtra,40.46,33.77,39.15,68.62,114.31,107.31,103,96.31,40.23,53.85,182.69,177.83,145.85,136.62,162.54,118.2,49.54,268.38,21.46,29.15,23.38,32.54,2022-10-09
Meghalaya,27.5,36,34.75,72.67,104.25,116.25,108,91.75,44.75,68.5,,152.5,143.33,146.67,200,150,75,315,27.75,35,40.5,49,2022-10-09
Mizoram,55,,50,,,,,120,50,75,,,,150,,,,130,26,40,60,67,2022-10-09
Odisha,31.86,34.29,35.43,67.43,109.57,95.29,95,85.57,43.57,48,180,167,113.71,162,157.71,104.86,48.71,233.17,24.14,25.57,23.14,44.14,2022-10-09
Puducherry,34,39,36,72,125,126,104,100,42,44,175,190,164,,140,95,52,329,25,35,30,40,2022-10-09
Punjab,39,22.67,26.67,76.67,121,117.67,112,110,41,53.67,210.67,177.67,156.67,161.67,202,108,54,295.33,24,26.67,26,41,2022-10-09
Rajasthan,39,31,34.25,77.25,113.75,108.5,100.25,99.25,42.75,51.5,190.25,170.5,159.5,163,196,168,45.75,274.75,21.5,27,27,44.5,2022-10-09
Tamil Nadu,50,39.22,47.22,73.89,118.78,122.22,104.67,99.78,39.67,41.67,208.56,207,140.56,,162,105.67,53.56,271.63,24,39,27.89,40.44,2022-10-09
Telangana,36.67,32.75,39,68.25,104.75,110.5,102.75,93.5,39.75,55.75,169.25,179,138.33,170,169.5,135.33,53,292.67,17.5,21.25,24.5,38,2022-10-09
Tripura,45,,35,75,110,110,110,105,50,72,,168,135,155,190,135,52,179,10,30,30,58,2022-10-09
Uttar Pradesh,31.96,25.48,30.61,72.91,106.22,103.39,98.22,94.35,41.3,57.52,185.57,161.35,144.61,148.09,173.35,126.17,46.78,268.35,24.17,22.65,21.61,43.61,2022-10-09
Uttarakhand,34,32,33,120,115,117,116,111,42,51,178,177,172,175,179,145,51,255,25,30,40,45,2022-10-09
West Bengal,41.4,23.33,33,73.6,116.8,108.4,108.6,105,43.6,48.2,188.33,162.6,129.2,149,172.6,131.4,54.4,278.4,18.2,24.6,26,56,2022-10-09
Andhra Pradesh,54,40.5,43.5,71.25,115.75,121.75,106.5,105.25,41.25,56.25,173.75,193.75,136.75,170,156.5,107.25,56,340.25,20.25,34.75,26.75,40,2022-10-10
Arunachal pradesh,30.25,40,39.5,86.75,119.25,118.25,118.25,108.75,49.33,68.67,,166.67,176.67,158.33,222.5,,69.5,311,20.67,30.75,35,58,2022-10-10
Assam,30,26.5,34,66.33,110,91.33,96,85.67,42.67,67,227.5,172,161.33,152.33,182,142.5,49.67,193.33,11.67,29,30.33,45,2022-10-10
Bihar,37.58,27.08,33.36,68.03,108.56,106.42,101.81,86.94,42.8,51.03,195.92,164.94,139.06,149.43,187.16,126.62,47.09,292.31,20.83,20.91,21.51,46.89,2022-10-10
Chandigarh,38,24,28,78,113,111,112,90,42,57,177,177,175,168,170,145,48,229,23,26,29,48,2022-10-10
Chhattisgarh,32.5,28.83,33.83,72.17,99.67,98.17,99,87,40.17,56.17,190.17,175.67,140,147.5,173.67,139.17,44.83,301,19.67,26,24.5,42.5,2022-10-10
Delhi,32,25,30,72,113,127,103,94,41,52,205,176,152,152,190,112,56,224,26,30,25,55,2022-10-10
DNH and DD,38,30,33.5,72.33,110.67,117,104,103,37.33,56,198.33,188.33,167.5,164,192,125.67,49,234,24,20.67,26,25,2022-10-10
Goa,42,39,38,78,123,117,115,105,41,52,195,182,185,172,165,105,55,307,23,38,29,48,2022-10-10
Gujarat,35.43,31,33.71,70.43,109,101.71,97.29,92.86,40.5,56.33,188.33,176.5,149.2,164.5,174,131.57,47.33,325.33,13.83,24.14,23.43,36.83,2022-10-10
Haryana,34.75,24.5,31,70.75,106.75,98.75,99.5,97.75,42.67,58,188.25,167.25,154.25,152,179.75,127,44.33,236,24,25.25,21.5,38.75,2022-10-10
Himachal Pradesh,33.73,21,31.36,67.73,112.64,106.45,97,92.18,42.18,49.2,196,171.18,146.91,141.8,170.75,127.25,43.18,249.6,25.73,31.73,29.09,48.18,2022-10-10
Jammu and Kashmir,38.5,28.25,38.5,79.75,119.75,117,111.25,104,49.25,51.25,250,192.5,168.5,165.5,185,143.33,48.5,306.5,24.25,32.25,30.25,56.75,2022-10-10
Jharkhand,33.75,27,31.88,72.63,105.5,98.75,99,89.13,43.57,52.83,206.4,169.88,131.13,161.5,195.33,138,46.29,303.17,20.57,25.5,28.25,50.57,2022-10-10
Karnataka,48.42,36.58,44,73,113.42,111.42,102.67,102.08,40.5,42.92,187.42,189.67,134,156.42,155.08,111.42,52.67,322.5,18.75,32.08,25,37.5,2022-10-10
Kerala,51.64,42.09,48.27,96.64,131.18,133.91,123.55,118.91,41.55,47,219.83,216.88,183.27,,162.27,114.2,61.18,232.27,14.09,41.64,28.64,49,2022-10-10
Madhya Pradesh,33.82,26.45,32,67.64,102.55,93.55,94.09,90.18,41.7,58.2,180.3,163,142.3,137.6,169,120.83,44,260.8,19.5,24.67,18.56,39.44,2022-10-10
Maharashtra,40.46,33.69,39,68.85,115.15,107.31,103,96.46,40.15,53.85,183.08,178.17,146.23,137.85,163.62,118.7,49.54,268.38,21.46,29.31,23.46,33.31,2022-10-10
Manipur,41,34,34,75,105,120,100,93,45,60,180,170,177,157,210,140,,,14,28,27,60,2022-10-10
Meghalaya,25.57,37.14,35.29,75.6,109.5,120.83,107,91,44.8,68.6,165,155.17,144.33,147.67,205,139.33,76.25,366,24,34.17,39.33,49.5,2022-10-10
Mizoram,47,40,43.33,98.33,125,130,113.33,111.67,50,74,191,200.5,201,155.8,214.5,142,105,187.17,26.5,38.6,54,68.2,2022-10-10
Nagaland,33,37.4,40.22,99.29,121.33,118.57,120,102.22,50.63,67.43,210,186.43,201.25,180,205,165,76.67,328.57,16,33.13,43.13,66.25,2022-10-10
Odisha,31.13,34.29,35.25,66.88,110.25,95.5,94.88,85.75,43.88,48.13,180,171.88,125.13,163.5,161.5,112.25,49.13,235.38,23.88,25,24.88,43.38,2022-10-10
Puducherry,34,40,37,73,127,127,106,102,42,44,179,190,164,,140,98,52,329,25,35,30,40,2022-10-10
Punjab,38.5,24,27.5,76.25,124.75,118.25,110.75,106.5,42,54.5,229.25,172,151.75,156.5,195.25,98,53,299.5,25.5,25.5,26,44,2022-10-10
Rajasthan,39.2,30.4,33.8,75.2,114.2,107,99.4,95.4,42.4,50.8,194,170.4,151,159.8,192.75,168,45.2,273.8,20.6,26.6,27.6,44.6,2022-10-10
Sikkim,53,38,40,79,118,120,113,102,48,62,,198,143,176,220,,60,547,17,40,35,55,2022-10-10
Tamil Nadu,49.89,39.11,47,73.67,119,122.11,104.22,99.33,39.56,41.67,209.22,207.13,139.67,,162.89,106,53.56,271.25,24.22,39.44,29.67,40.56,2022-10-10
Telangana,42.17,34.83,40.17,69.67,106.33,110.17,101.33,94.5,40.33,57.83,172,187.5,144.17,175,170.83,128.33,53.83,289.67,17.5,25.83,26.5,41.67,2022-10-10
Tripura,45,,35,75,110,110,110,105,50,72,,168,135,155,190,135,52,179,10,30,30,58,2022-10-10
Uttar Pradesh,33.14,25.86,31.17,71.62,106.76,102.69,98.86,93,41.04,57.93,186.37,161.22,142.78,146.67,171.59,123.62,46.96,285.33,24.41,22.68,22.32,43.61,2022-10-10
Uttarakhand,33.33,28,32.67,93.33,109.67,110,108.33,100,43.67,59,182.33,171.33,168,166.33,179,145,45.67,277.33,26.33,26.67,31.33,39.67,2022-10-10
West Bengal,42.83,25,33.33,72.17,115.33,106.67,108,103.33,43.33,48.17,195,160.83,129.17,145,171.33,126.17,54,270.33,17.5,24.83,25.83,55.83,2022-10-10
Andaman and Nicobar,45.67,40,64.67,84.33,126.33,138.67,122,114,51.67,67.67,224.5,225.67,204,,207.67,141.33,71.67,305,20.33,51,43.33,77,2022-10-11
Andhra Pradesh,54,40.5,43.5,71.25,116.25,122.25,107.25,106,41.25,56.25,174.75,193.75,136.5,170,157.5,108.75,56,340.25,20.25,34.75,27.5,38.75,2022-10-11
Arunachal pradesh,31,40,40,86.75,121.75,118.25,118.25,105,49.5,68,,166.67,176.67,158.33,222.5,,73,285,20,30.75,35,59.5,2022-10-11
Assam,30,27,34,67,110,91.33,96,85.67,43,67,222.5,173.67,161.33,155.67,183.67,142.5,49.67,193.33,11.67,29.67,31,45,2022-10-11
Bihar,37.59,27.35,33.19,67.76,108.54,106.05,100.17,87,42.78,51.41,200.85,165.08,139.37,150.19,191.04,125.19,46.78,286.57,21.38,20.95,21.78,47.22,2022-10-11
Chandigarh,38,24,28,78,113,111,112,90,42,57,177,177,175,168,170,145,48,229,23,28,28,49,2022-10-11
Chhattisgarh,32.5,28.83,33.83,72.17,99.5,98.33,99,87,40.17,56.17,190.17,175.83,140,147,173.17,139.17,44.5,302.17,20.17,26.17,24.67,42.83,2022-10-11
Delhi,32,25,30,72,113,127,103,94,41,52,205,176,148,156,190,115,57,224,26,30,28,53,2022-10-11
DNH and DD,38.33,30,33.5,73,111.33,116.67,104,103.67,38,51.5,198,187.67,167.5,164,192,125.67,47.33,234,24.67,21.33,26,25,2022-10-11
Goa,42,39,38,78,123,117,115,105,40.5,52,198.5,182,185,156,165,105,55,310,23,38,32,48,2022-10-11
Gujarat,35.29,31,33.71,70.43,109,101.71,97.29,92.86,40.14,56.43,187.14,176.57,157.57,165.57,175.14,132.57,48.43,321.14,14.29,23.57,23.29,35,2022-10-11
Haryana,35.25,24.25,31,70.5,104.5,99.25,101.75,99,41.75,57,187,166.5,154,148.75,179,125.75,45,239.5,25,24.5,22.5,39.5,2022-10-11
Himachal Pradesh,33.3,,31,68.1,112.8,108.1,96.7,91.7,42.8,49.11,185.33,173.1,146.2,141.89,175.33,129.67,43.5,242.44,25.8,31.7,30.3,48.1,2022-10-11
Jammu and Kashmir,38.5,28.25,38.5,79.75,119.75,117,111.25,104,49.25,51.25,250,193.5,167.5,165.5,184.5,144.33,48.5,307.25,24.25,31,30.75,54,2022-10-11
Jharkhand,34.78,27.86,31.78,68.56,107.67,102,101.67,88.78,42.25,53.71,200.33,166.78,132.22,156.33,188.67,119.29,45.5,304.57,22.13,22.44,24.78,48,2022-10-11
Karnataka,48.25,36.67,43.83,72.83,113.33,111.25,102.33,102,40.58,42.92,187.67,188.92,133.42,156.92,156,111.33,52.58,322.17,18.75,31.92,26,38.17,2022-10-11
Kerala,51.5,42.7,49,96.9,131.2,133.2,124,117.6,41.8,46.89,220.17,213,182.4,,162,115,61.2,239.1,14.8,43,31.2,48.3,2022-10-11
Madhya Pradesh,33.82,26.45,32.18,67.55,102.73,94.09,94.64,90.18,41.64,58.18,178.91,162.45,142.55,137.91,167.73,117.14,43.36,263.64,18.73,24.27,18.36,40,2022-10-11
Maharashtra,40.31,33.85,39,69.31,115.23,107.31,102.92,96.31,40.08,53.77,183.54,178.33,146.23,139.69,165.23,120,49.46,268.23,21.54,30.54,24.54,33.38,2022-10-11
Manipur,45,,45,80,120,135,120,90,45,60,180,170,177,157,210,140,,,14,28,27,60,2022-10-11
Meghalaya,25.57,37.14,35.29,75.2,109.5,120.33,106.67,91,44.86,68.86,165,155,146,150.33,205,139.33,73,341.29,23.43,33.29,39,48.71,2022-10-11
